# accountAddr,discordID,scholarShare,payoutAddress
0xaa7fd3200eba605e3df12c9c1cc2bec155c69e1b,390473305737527309,0.65,0x5d8c545a323000e2173a645a31cc28ec5cbffcfc
0x5d8c545a323000e2173a645a31cc28ec5cbffcfc,247516165612503040,0.75,0x5d8c545a323000e2173a645a31cc28ec5cbffcfc
0x5d8c545a323000e2173a645a31cc28ec5cbffcfc,302264833464860682,0.65,0x5d8c545a323000e2173a645a31cc28ec5cbffcfc
0x4b59a17ad7d27bc994e74e5251d67cadb83f08bd,778613088202653716,0.65,0x4b59a17ad7d27bc994e74e5251d67cadb83f08bd
0xedf4fcbffdc15e02381d3a1ee4cc85fc8265c745,782169066722295859,0.65,0xedf4fcbffdc15e02381d3a1ee4cc85fc8265c745
0x5d8c545a323000e2173a645a31cc28ec5cbffcfc,807383493902073878,0.65,0x5d8c545a323000e2173a645a31cc28ec5cbffcfc
0x5d8c545a323000e2173a645a31cc28ec5cbffcfc,776185251037970453,0.65,0x5d8c545a323000e2173a645a31cc28ec5cbffcfc
0x5d8c545a323000e2173a645a31cc28ec5cbffcfc,776183043579707443,0.65,0x5d8c545a323000e2173a645a31cc28ec5cbffcfc
0x5d8c545a323000e2173a645a31cc28ec5cbffcfc,818927824109830154,0.65,0x5d8c545a323000e2173a645a31cc28ec5cbffcfc
0x9dd0641184fca3b37db0647362546b64c980f93e,808554363693039636,0.65,0x9dd0641184fca3b37db0647362546b64c980f93e
0x18d40d94e6c71f49da9999a2bb09d7769a5655c3,782162912844054538,0.65,0x18d40d94e6c71f49da9999a2bb09d7769a5655c3
0x1c854336914b3ed6235abdcc531ed27194f146bc,875169377668964442,0.65,0x1c854336914b3ed6235abdcc531ed27194f146bc
0x1c7591070a21cc1e107d5cefa85c247aa7e811d2,722630737790107660,0.65,0x1c7591070a21cc1e107d5cefa85c247aa7e811d2
0x7fbee6d73d11b67411d33dbc2e14a8c1cdf67999,326821441356038185,0.65,0x7fbee6d73d11b67411d33dbc2e14a8c1cdf67999
0x744974ebb331d7ead1cc05a020bcce5f81b325a3,868591417553985617,0.65,0x744974ebb331d7ead1cc05a020bcce5f81b325a3
0xd7501779f078694645e2574ce8f09d1d0131e73b,403061776943546368,0.65,0xd7501779f078694645e2574ce8f09d1d0131e73b
0x44531a58c4fb5505448f1de76bf2021a63ef6980,850325869737541633,0.65,0x44531a58c4fb5505448f1de76bf2021a63ef6980
0xc4d7df8757f55bc638a17480829e2fbd0e283ae3,661244245763424292,0.65,0xc4d7df8757f55bc638a17480829e2fbd0e283ae3
0x2007b5f1bffb9dee89735e8824b3e30c85f81fd8,760615093871706113,0.65,0x2007b5f1bffb9dee89735e8824b3e30c85f81fd8
